CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
01001020100,Alabama,Autauga County,1,1912,693,0,0,0.00,0,0,0,0,0,0,11.3,81250,1,1,1,1,1,0,0,0,1896,1912,1896,461,467,461,1912,100.00,467,24.42,507,26.52,221,11.56,1622,84.83,217,11.35,14,0.73,0,0.00,14,0.73,45,2.35,44,2.30,5,0.79,92,13.33,1896,99.19,461,24.11,504,26.33,219,11.44,1611,84.26,214,11.17,14,0.72,0,0.00,14,0.73,44,2.31,43,2.27,5,0.79,92,13.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,455,507,221,1622,217,14,0,14,45,44,6,102
01001020200,Alabama,Autauga County,1,2170,743,0,181,8.34,1,1,1,0,0,1,17.9,49000,1,1,1,1,1,0,0,0,1261,2170,1261,604,962,604,2170,100.00,962,44.34,606,27.93,214,9.86,888,40.92,1217,56.08,5,0.23,0,0.00,5,0.23,55,2.53,75,3.46,93,12.47,161,21.70,1261,58.11,604,27.83,406,18.69,127,5.83,357,16.43,854,39.36,4,0.18,0,0.00,4,0.20,42,1.93,33,1.52,67,9.00,96,12.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,802,606,214,888,1217,5,0,5,55,75,89,156
01001020300,Alabama,Autauga County,1,3373,1256,0,0,0.00,0,0,0,0,0,0,15.0,62609,1,1,1,1,1,0,0,0,1552,2857,1552,478,971,478,2857,84.70,971,28.79,771,22.86,358,10.60,2177,64.53,554,16.43,10,0.30,1,0.03,10,0.30,105,3.10,78,2.30,39,3.09,139,11.05,1552,46.00,478,14.18,416,12.34,201,5.96,1242,36.81,255,7.56,8,0.24,0,0.00,2,0.06,45,1.33,36,1.08,0,0.00,74,5.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1306,894,439,2576,647,17,5,11,117,87,99,172
01001020400,Alabama,Autauga County,1,4386,1722,0,0,0.00,0,0,0,0,0,0,2.8,70607,1,1,1,1,1,0,0,0,1363,3651,1363,343,893,343,3651,83.24,893,20.36,847,19.30,767,17.48,3395,77.41,170,3.88,15,0.34,3,0.06,8,0.18,60,1.38,61,1.40,19,1.13,84,4.88,1363,31.09,343,7.83,346,7.89,237,5.39,1233,28.12,81,1.85,7,0.16,2,0.05,4,0.08,37,0.84,30,0.68,8,0.46,30,1.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,922,1015,904,4086,193,18,4,11,74,85,21,98
01001020500,Alabama,Autauga County,1,10766,4082,0,181,1.68,0,0,0,0,1,0,15.2,96334,1,1,1,1,1,0,0,1,2643,7778,2643,586,1719,586,7778,72.25,1719,15.97,2309,21.45,840,7.80,6299,58.51,1001,9.29,209,1.94,5,0.05,38,0.35,227,2.11,277,2.57,164,4.01,235,5.76,2643,24.55,586,5.45,715,6.64,362,3.36,2168,20.14,343,3.19,47,0.44,1,0.01,14,0.13,70,0.65,86,0.80,55,1.35,83,2.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2242,3162,1126,8666,1437,296,9,48,310,355,230,339
01001020600,Alabama,Autauga County,1,3668,1311,0,0,0.00,1,1,1,0,0,1,21.6,69521,1,1,1,1,1,0,0,0,3438,3668,3438,1585,1674,1585,3668,100.00,1674,45.63,1008,27.48,411,11.21,2751,75.00,740,20.17,9,0.25,1,0.03,10,0.27,157,4.28,176,4.80,73,5.54,220,16.82,3438,93.72,1585,43.21,955,26.03,375,10.22,2539,69.22,726,19.80,9,0.25,1,0.03,9,0.26,153,4.16,168,4.59,72,5.47,206,15.70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1659,1008,411,2751,740,9,1,10,157,176,71,224
01001020700,Alabama,Autauga County,1,2891,1188,0,36,1.25,1,1,1,0,0,1,30.5,39875,1,1,1,1,1,0,0,0,1231,2287,1231,742,1307,742,2287,79.12,1307,45.19,557,19.25,277,9.57,1849,63.97,337,11.67,10,0.35,3,0.10,9,0.30,79,2.73,82,2.84,23,1.91,263,22.12,1231,42.58,742,25.67,298,10.31,109,3.78,1005,34.77,158,5.47,4,0.13,2,0.08,4,0.14,58,2.00,56,1.93,12,1.01,140,11.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2175,686,360,2333,435,13,3,11,96,98,34,390
01001020801,Alabama,Autauga County,0,3081,1074,0,0,0.00,0,0,0,0,0,0,8.9,89423,0,0,0,0,0,0,0,0,0,0,NULL,0,0,NULL,3081,100.00,576,18.70,815,26.45,341,11.07,2690,87.31,278,9.02,16,0.52,0,0.00,27,0.88,70,2.27,57,1.85,74,6.91,150,13.99,3081,100.00,576,18.70,815,26.45,341,11.07,2690,87.31,278,9.02,16,0.52,0,0.00,27,0.88,70,2.27,57,1.85,74,6.91,150,13.99,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,527,815,341,2690,278,16,0,27,70,57,68,143
01001020802,Alabama,Autauga County,0,10435,3694,0,0,0.00,0,0,0,0,1,0,13.7,84833,0,0,0,0,0,0,0,1,74,74,NULL,26,26,NULL,10330,99.00,2783,26.67,2883,27.63,1050,10.06,8645,82.85,1382,13.25,61,0.58,7,0.07,49,0.47,186,1.78,158,1.52,193,5.22,314,8.50,9340,89.51,2547,24.41,2573,24.66,983,9.42,7774,74.50,1297,12.43,43,0.42,7,0.07,47,0.45,171,1.64,134,1.28,179,4.84,285,7.71,74,0.71,26,0.24,11,0.10,14,0.14,51,0.49,21,0.20,0,0.00,0,0.00,0,0.00,2,0.02,2,0.02,2,0.06,2,0.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3103,2909,1060,8744,1387,61,7,49,187,159,198,352
01001020900,Alabama,Autauga County,0,5675,2067,0,14,0.25,0,0,0,0,0,0,9.8,77865,0,0,0,0,0,0,0,0,67,67,NULL,25,25,NULL,5549,97.79,1329,23.42,1478,26.04,616,10.86,4719,83.16,678,11.95,20,0.34,3,0.05,14,0.25,116,2.04,80,1.40,82,3.98,298,14.41,5405,95.23,1308,23.05,1445,25.46,599,10.55,4581,80.72,676,11.92,19,0.33,3,0.05,14,0.25,111,1.96,79,1.39,82,3.97,289,14.00,67,1.17,25,0.45,10,0.18,14,0.24,62,1.09,4,0.07,0,0.00,0,0.00,0,0.00,1,0.01,1,0.01,3,0.14,4,0.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1612,1511,630,4835,679,20,3,14,124,96,97,340
