CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
12001000200,Florida,Alachua County,1,7431,2788,0,1072,14.43,0,1,0,0,0,1,63.7,54432,0,1,0,1,0,0,0,0,NULL,4080,NULL,NULL,3025,NULL,4080,54.90,3025,40.71,179,2.40,82,1.10,3125,42.05,615,8.28,155,2.09,3,0.04,12,0.16,170,2.29,439,5.91,61,2.19,110,3.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4236,328,163,5575,1155,340,7,20,334,838,97,190
12001000301,Florida,Alachua County,1,3308,1758,0,19,0.57,0,0,0,0,0,1,30.1,38903,0,0,0,0,0,0,0,0,NULL,348,NULL,NULL,244,NULL,348,10.53,244,7.37,45,1.35,22,0.65,283,8.54,40,1.22,10,0.32,0,0.00,0,0.01,15,0.44,36,1.10,20,1.13,41,2.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2816,451,248,2301,751,70,0,20,166,332,187,383
12001000302,Florida,Alachua County,1,2770,1328,0,24,0.87,0,1,0,0,0,1,20.7,38864,0,1,0,1,0,0,0,0,0,626,0,0,402,0,626,22.61,402,14.51,126,4.56,59,2.11,316,11.42,274,9.90,8,0.28,0,0.00,3,0.10,25,0.90,36,1.31,10,0.74,69,5.23,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1096,547,247,1673,877,77,0,20,123,209,30,245
12001000400,Florida,Alachua County,1,5665,2145,0,61,1.08,1,1,1,1,1,1,26.7,50588,1,1,1,1,1,0,0,1,2149,4974,2149,1525,2784,1525,4974,87.80,2784,49.14,1553,27.41,358,6.33,1501,26.50,3131,55.27,66,1.17,1,0.02,21,0.37,254,4.48,262,4.62,198,9.23,481,22.41,2149,37.93,1525,26.93,781,13.79,128,2.25,370,6.53,1638,28.91,23,0.40,0,0.00,6,0.11,112,1.98,109,1.92,106,4.96,192,8.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3473,1676,496,1857,3437,74,1,22,274,297,212,576
12001000500,Florida,Alachua County,1,4976,2417,0,344,6.91,1,1,1,1,1,1,31.3,83844,1,1,1,1,1,0,0,1,825,4270,825,435,1917,435,4270,85.81,1917,38.53,521,10.47,331,6.65,3146,63.22,850,17.08,75,1.50,2,0.04,27,0.55,170,3.42,259,5.20,201,8.30,222,9.17,825,16.58,435,8.74,105,2.10,36,0.72,547,10.99,229,4.61,9,0.19,2,0.04,2,0.03,36,0.72,63,1.27,62,2.55,42,1.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2313,659,423,3621,1030,80,2,33,210,296,221,275
12001000600,Florida,Alachua County,1,4350,1556,0,12,0.28,1,1,1,1,1,1,34.4,37670,1,1,1,1,1,0,0,1,905,2613,905,636,1694,636,2613,60.07,1694,38.95,933,21.44,245,5.63,188,4.32,2332,53.60,15,0.35,0,0.00,4,0.10,74,1.70,56,1.28,155,9.94,264,16.96,905,20.81,636,14.61,400,9.19,42,0.96,72,1.65,787,18.08,0,0.00,0,0.00,1,0.01,46,1.07,17,0.40,48,3.09,92,5.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3019,1511,463,256,3961,16,0,5,112,95,231,426
12001000700,Florida,Alachua County,0,6075,2344,0,20,0.33,0,0,0,1,1,1,28.9,52780,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,6053,99.64,3254,53.57,1513,24.91,821,13.51,1147,18.87,4687,77.15,18,0.29,0,0.00,27,0.44,175,2.89,149,2.45,346,14.76,616,26.26,5283,86.97,2885,47.49,1305,21.49,718,11.81,1045,17.20,4056,66.77,13,0.21,0,0.00,26,0.44,143,2.36,125,2.05,286,12.20,532,22.70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3414,1518,825,1155,4699,18,0,27,176,150,336,621
12001000806,Florida,Alachua County,1,2180,1031,0,195,8.94,0,0,0,0,0,1,44.6,75972,0,0,0,0,0,0,0,0,NULL,348,NULL,NULL,223,NULL,348,15.99,223,10.25,11,0.50,6,0.27,262,12.02,34,1.54,34,1.55,0,0.00,1,0.04,18,0.83,42,1.90,29,2.86,15,1.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1407,106,90,1482,295,277,1,5,120,272,161,83
12001000808,Florida,Alachua County,1,3630,1578,0,0,0.00,0,1,0,1,1,1,37.5,42206,0,1,0,1,0,0,0,1,314,1878,314,183,1092,183,1878,51.74,1092,30.07,217,5.98,45,1.23,1100,30.30,319,8.79,334,9.20,6,0.15,10,0.29,109,3.01,202,5.58,134,8.47,111,7.03,314,8.64,183,5.04,17,0.48,4,0.12,196,5.40,57,1.56,44,1.21,0,0.01,2,0.05,15,0.41,32,0.88,22,1.43,17,1.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1917,488,103,1941,728,710,7,14,230,362,191,187
12001000809,Florida,Alachua County,1,1364,652,0,348,25.51,0,1,0,1,1,1,28.6,41875,0,1,0,1,0,0,0,1,25,1354,25,13,668,13,1354,99.28,668,48.98,69,5.08,188,13.80,875,64.17,206,15.14,211,15.46,0,0.00,5,0.36,57,4.15,96,7.06,103,15.74,69,10.61,25,1.86,13,0.92,1,0.07,4,0.30,21,1.56,2,0.15,1,0.09,0,0.00,0,0.01,1,0.04,1,0.09,3,0.43,2,0.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,522,70,189,882,208,212,0,5,57,97,92,62
